Client ID,Case ID#,Date Opened,Date Closed,County of Residence,Zip Code,ACE Gender,ACE Race/Ethnicity,Current Age,Total Annual Income ,Aware of ACE Before Calling,ACE Did you try to get legal representation in this case before today's hearing?,Disability in Household,Landlord Representation,Type of Eviction Case,ACE Other Type of Eviction Case,10 Day Notice from Landlord,Move Options,Wants to Stay in Rental Unit,ACE Case Resolutions,ACE Case Resolution Other Benefit,ACE Level of Service,ACE Level of Service Other Appropriate Remedies,ACE Level of Service Other Services Provided,ACE Request a Continuance,ACE Case Handler,ACE Funding Source,Tenant's Goals (Same Day),Goal Status - Prevent Eviction Judgment,Goal Status - Prevent Involuntary Move,Goal Status - Prevent Eviction Filing,Goal Status - Mitigate Damages,Goal Status - Secure More Time to Move,Goal Status - Secure Rent Assistance,Goal Status - Remediate Defective Conditions,Goal Status - Secure Monetary Relief,Goal Status - Avoid Subsidy Termination,Goal Status - Reduce Rent/Fee,Goal Status - Remedy Housing Discrimination,Goal Status - Obtain Accomodation,Goal Status - Recover Personal Property,Goal Status - Other Goal
1535390,24-0550342,4/1/2024,5/3/2024,Baltimore County,21220,Female,"African American or Black, not of Hispanic Origin",26,16800,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535398,24-0550347,4/1/2024,5/9/2024,Baltimore County,21222,Male,"White, not of Hispanic Origin",66,10800,No,"No, I found out about it in court",Yes,Represented by agent,Failure to pay rent,,No,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535404,24-0550350,4/1/2024,5/27/2024,Baltimore City,21214,Male,Hispanic,54,0,Yes,"No, I found out about it in court",Not asked,Represented by agent,Failure to pay rent,,No,Shelter,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535538,24-0550428,4/2/2024,4/3/2024,Charles County,20602,Female,"African American or Black, not of Hispanic Origin",52,39000,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535591,24-0550446,3/29/2024,5/31/2024,Howard County,21042,Female,"African American or Black, not of Hispanic Origin",45,39000,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Not asked,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535632,24-0550467,3/29/2024,4/30/2024,Howard County,21044,Female,"African American or Black, not of Hispanic Origin",35,30000,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535650,24-0550478,3/29/2024,4/30/2024,Howard County,21042,Female,"African American or Black, not of Hispanic Origin",41,9132,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Street/unsheltered,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535667,24-0550489,3/29/2024,4/30/2024,Howard County,20723,Female,"African American or Black, not of Hispanic Origin",39,0,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,No,Another apartment,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535691,24-0550502,4/2/2024,4/30/2024,Howard County,21045,Female,"African American or Black, not of Hispanic Origin",29,40320,No,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Yes,Friends/family – in MD,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535704,24-0550510,4/1/2024,4/30/2024,Howard County,21042,Female,"White, not of Hispanic Origin",41,0,No,"No, I found out about it in court",No,Represented by attorney,Breach of lease,,,Another apartment,No,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535755,24-0550532,4/2/2024,4/17/2024,Baltimore County,21244,Female,"African American or Black, not of Hispanic Origin",52,18000,Yes,"No, I found out about it in court",No,,Failure to pay rent,,Prefer not to answer,Other,Prefer not to answer,Prevented eviction filing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535765,24-0550539,4/2/2024,4/4/2024,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",40,23400,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Other,Yes,"Delayed eviction, providing time to seek alternative housing, Obtained counseling services on a housing matter, Obtained representation in housing defensive litigation",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535798,24-0550548,4/2/2024,4/4/2024,Baltimore County,21227,Male,"White, not of Hispanic Origin",49,39520,No,"No, I found out about it in court",No,,Failure to pay rent,,No,Street/unsheltered,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535814,24-0550553,4/2/2024,4/4/2024,Baltimore County,21207,Male,"African American or Black, not of Hispanic Origin",49,0,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied",No,,Failure to pay rent,,Yes,Shelter,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535822,24-0550556,4/2/2024,4/4/2024,Baltimore County,21244,Female,"African American or Black, not of Hispanic Origin",53,0,Yes,"No, I found out about it in court",No,,Failure to pay rent,,Unsure,Shelter,Yes,"Delayed eviction, providing time to seek alternative housing",,Negotiation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535839,24-0550562,4/2/2024,6/30/2024,Frederick County,21788,Female,"White, not of Hispanic Origin",35,31654,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,No,Not asked,Yes,Prevented denial of public or subsidized housing tenant's rights,,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535957,24-0550622,4/3/2024,4/4/2024,Charles County,20601,Male,"African American or Black, not of Hispanic Origin",38,0,Yes,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Yes,Not asked,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1535964,24-0550626,4/3/2024,6/5/2024,Charles County,20601,Male,"African American or Black, not of Hispanic Origin",61,16668,No,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Yes,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536072,24-0550667,4/3/2024,6/14/2024,Charles County,20602,Female,"African American or Black, not of Hispanic Origin",38,24084,No,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Yes,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536086,24-0550673,4/3/2024,7/24/2024,Frederick County,21771,Female,"White, not of Hispanic Origin",34,11316,No,,No,Represented by attorney,Failure to pay rent,,No,Friends/family – in MD,No,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Remediate defective conditions,,,,,,,Achieved,,,,,,,
1536150,24-0550702,4/3/2024,4/29/2024,Baltimore County,21228,Female,"African American or Black, not of Hispanic Origin",55,0,Yes,,No,Represented by agent,Failure to pay rent,,Unsure,Unknown,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536196,24-0550724,4/3/2024,5/27/2024,Baltimore City,21217,Female,"African American or Black, not of Hispanic Origin",42,8100,Yes,,Yes,Represented by attorney,Failure to pay rent,,Yes,Not asked,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,Achieved,,,,,,,,,,,,
1536214,24-0550728,4/3/2024,6/6/2024,Baltimore County,21215,Male,"African American or Black, not of Hispanic Origin",44,0,Yes,"No, I found out about it in court",No,,Failure to pay rent,,No,Street/unsheltered,Prefer not to answer,"Enforced rights to decent, habitable housing, Prevented eviction filing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536259,24-0550755,4/3/2024,7/3/2024,Baltimore County,21136,Female,"African American or Black, not of Hispanic Origin",40,11316,Yes,"Yes, and the legal services provider told me to see them at court",Prefer not to respond,Represented by attorney,Breach of lease,,,Not asked,Prefer not to answer,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Secure monetary relief,,,,,,,,Not achieved,,,,,,
1536283,24-0550764,4/3/2024,4/5/2024,Baltimore County,21208,Male,"African American or Black, not of Hispanic Origin",65,11292,No,"Yes, I tried to contact a legal services provider but no return call or was denied",Yes,,Failure to pay rent,,Yes,Hotel/motel,No,Obtained counseling services on a housing matter,,Counseling,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536411,24-0550814,4/4/2024,7/9/2024,Frederick County,21703,Female,Hispanic,33,46401.36,No,,No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Prevented eviction from other housing,,Negotiation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,,,,,,,,,,,,
1536490,24-0550857,4/4/2024,4/5/2024,Baltimore County,21208,Female,"African American or Black, not of Hispanic Origin",55,0,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied",No,,Failure to pay rent,,Yes,Other,Yes,Obtained counseling services on a housing matter,,Counseling,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536501,24-0550864,4/4/2024,4/22/2024,Baltimore County,21133,Female,"African American or Black, not of Hispanic Origin",36,0,No,"No, I found out about it in court",Yes,,Failure to pay rent,,No,Other,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536515,24-0550868,4/4/2024,7/4/2024,Carroll County,21157,Female,"White, not of Hispanic Origin",42,13752,Yes,"No, I had learned about it through a flyer, letter or visit, but did not have time to reach out",No,Self-represented,Failure to pay rent,,Yes,Not asked,Not asked,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536539,24-0550873,4/4/2024,4/5/2024,Baltimore County,21133,Female,"African American or Black, not of Hispanic Origin",53,0,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied",No,,Failure to pay rent,,Unsure,Street/unsheltered,Prefer not to answer,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536723,24-0550976,4/5/2024,7/10/2024,Washington County,21740,Male,"White, not of Hispanic Origin",43,28800,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Street/unsheltered,Yes,"Obtained representation in housing defensive litigation, Prevented eviction from other housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536736,24-0550983,4/5/2024,9/29/2024,Washington County,21740,Male,"African American or Black, not of Hispanic Origin",47,29112,Yes,"No, I found out about it in court",Yes,Self-represented,Failure to pay rent,,Yes,Other,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Secure time to move (30 days or more),,,,,Achieved,,,,,,,,,
1536762,24-0550995,4/5/2024,4/23/2024,Montgomery County,20879,Female,Hispanic,47,24000,No,"No, I found out about it in court",No,,Failure to pay rent,,Yes,Other,No,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536778,24-0551004,4/5/2024,6/30/2024,Frederick County,21702,Female,"African American or Black, not of Hispanic Origin",53,0,No,"No, I found out about it in court",Yes,Represented by agent,Failure to pay rent,,Yes,Shelter,Yes,"Delayed eviction, providing time to seek alternative housing",,Negotiation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,Achieved,Planned,
1536971,24-0551113,4/8/2024,4/10/2024,Baltimore County,21237,Female,"African American or Black, not of Hispanic Origin",32,32736,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536978,24-0551116,4/8/2024,8/21/2024,Baltimore City,21217,Male,"African American or Black, not of Hispanic Origin",57,0,Not asked,,No,Represented by attorney,Failure to pay rent,,Yes,Not asked,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536979,24-0551117,4/8/2024,4/10/2024,Baltimore County,21237,Female,"African American or Black, not of Hispanic Origin",64,22776,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1536981,24-0551118,4/8/2024,6/6/2024,Baltimore County,21220,Female,"African American or Black, not of Hispanic Origin",36,11448,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,Obtained representation in housing affirmative litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,Achieved,Achieved,,,,,,Achieved,,,,
1536997,24-0551124,4/8/2024,4/10/2024,Baltimore County,21221,Female,"African American or Black, not of Hispanic Origin",39,22560,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537001,24-0551125,4/8/2024,4/16/2024,Baltimore County,21221,Female,"African American or Black, not of Hispanic Origin",30,16032,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537012,24-0551130,4/8/2024,4/10/2024,Baltimore County,21222,Male,"African American or Black, not of Hispanic Origin",28,0,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Other,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537131,24-0551177,4/8/2024,5/30/2024,Anne Arundel County,21061,Female,"African American or Black, not of Hispanic Origin",32,36000,Not asked,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Yes,Friends/family – in MD,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1537212,24-0551220,4/8/2024,7/23/2024,Frederick County,21701,Female,"African American or Black, not of Hispanic Origin",25,24000,,,,,Failure to pay rent,,,,,Prevented eviction filing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,"Prevent eviction filing, Prevent eviction judgment",Achieved,,Achieved,,,,,,,,,,,
1537283,24-0551247,4/8/2024,5/7/2024,Baltimore City,21201,Female,"African American or Black, not of Hispanic Origin",50,264,No,,No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE ARPA Baltimore City,,,,,,,,,,,,,,,
1537468,24-0551344,4/9/2024,5/30/2024,Howard County,21046,Male,"African American or Black, not of Hispanic Origin",55,19200,No,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Yes,Other,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537471,24-0551347,4/5/2024,6/21/2024,Howard County,21044,Female,"African American or Black, not of Hispanic Origin",26,39000,No,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,No,Other,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537474,24-0551349,4/5/2024,5/31/2024,Howard County,21075,Female,"African American or Black, not of Hispanic Origin",39,12131.6,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Another apartment,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537477,24-0551352,4/5/2024,4/30/2024,Howard County,21044,Male,"African American or Black, not of Hispanic Origin",38,34800,Yes,"No, I had learned about it through a flyer, letter or visit, but did not have time to reach out",No,Represented by attorney,Failure to pay rent,,Yes,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537488,24-0551359,4/9/2024,4/30/2024,Howard County,21075,Female,"African American or Black, not of Hispanic Origin",53,0,Yes,"No, I had learned about it through a flyer, letter or visit, but did not have time to reach out",No,Represented by attorney,Failure to pay rent,,Yes,Another apartment,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537489,24-0551360,4/9/2024,4/11/2024,Charles County,20601,Female,"African American or Black, not of Hispanic Origin",34,0,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Not asked,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537490,24-0551361,4/9/2024,4/10/2024,Baltimore County,21244,Female,"African American or Black, not of Hispanic Origin",71,13716,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537504,24-0551367,4/9/2024,4/10/2024,Baltimore County,21244,Male,"African American or Black, not of Hispanic Origin",59,0,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1537591,24-0551407,4/9/2024,4/21/2024,Baltimore City,21218,Male,"African American or Black, not of Hispanic Origin",36,22400,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied",No,Represented by agent,Failure to pay rent,,No,Friends/family – in MD,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE ARPA Baltimore City,,,,,,,,,,,,,,,
1537699,24-0551443,4/10/2024,7/16/2024,Baltimore County,21236,Male,"African American or Black, not of Hispanic Origin",81,84684,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied",No,Represented by attorney,Failure to pay rent,,Yes,Friends/family – in MD,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Other client goal (please specify),,,,,,,,,,,,,,Planned
1537979,24-0551547,4/10/2024,8/1/2024,Washington County,21750,Female,"White, not of Hispanic Origin",36,0,Yes,,No,Represented by attorney,Holdover,,,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Prevent eviction judgment,Not achieved,,,,,,,,,,,,,
1538054,24-0551570,4/10/2024,7/4/2024,Frederick County,21793,Female,"White, not of Hispanic Origin",57,21600,Yes,"No, I found out about it in court",No,Represented by attorney,Holdover,,,Hotel/motel,No,"Delayed eviction, providing time to seek alternative housing, Prevented eviction from other housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,Achieved,,,Achieved,,,,,,,,,
1538061,24-0551573,4/10/2024,5/27/2024,Baltimore City,21216,Female,Prefer not to respond,58,24000,Yes,,Yes,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing, Enforced rights to decent, habitable housing, Obtained counseling services on a housing matter, Obtained representation in housing defensive litigation",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,Achieved,,,,,Planned,,,,,,,
1538170,24-0551646,4/11/2024,4/23/2024,Montgomery County,20878,Male,Hispanic,65,34800,No,"No, I found out about it in court",No,,Other,Wrongful detainer,,Other,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538206,24-0551663,4/11/2024,7/26/2024,Baltimore County,21234,Male,"African American or Black, not of Hispanic Origin",64,0,No,"No, I found out about it in court",No,,Failure to pay rent,,No,Shelter,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538223,24-0551668,4/11/2024,5/14/2024,Montgomery County,20874,Female,"African American or Black, not of Hispanic Origin",37,24000,No,"No, I found out about it in court",No,Self-represented,Holdover,,,Other,Yes,Prevented eviction from public or subsidized housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,Achieved,,,,,,,,Achieved,,,,,
1538225,24-0551669,4/11/2024,4/12/2024,Baltimore County,21093,Male,"African American or Black, not of Hispanic Origin",35,16800,Yes,"No, I received materials about ACE, but didn’t understand them.",No,,Failure to pay rent,,Yes,Street/unsheltered,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538256,24-0551678,4/11/2024,4/12/2024,Baltimore County,21030,Male,Hispanic,54,23400,Yes,"No, I received materials about ACE, but didn’t understand them.",No,,Failure to pay rent,,Unsure,Other,Yes,Prevented eviction from other housing,,Negotiation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538267,24-0551684,4/11/2024,4/26/2024,Baltimore County,21234,Female,"African American or Black, not of Hispanic Origin",26,0,No,"No, I found out about it in court",No,,Failure to pay rent,,Unsure,Friends/family – in MD,Already vacated,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538293,24-0551692,4/11/2024,4/23/2024,Montgomery County,20877,Female,"African American or Black, not of Hispanic Origin",54,11004,No,"No, I found out about it in court",Yes,,Holdover,,,Other,Yes,"Delayed eviction, providing time to seek alternative housing",,Negotiation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538325,24-0551707,4/11/2024,6/20/2024,Charles County,20602,Female,"African American or Black, not of Hispanic Origin",33,0,No,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Yes,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538405,24-0551735,4/11/2024,4/12/2024,Baltimore County,21234,Female,"African American or Black, not of Hispanic Origin",56,6876,No,"No, I found out about it in court",Yes,,Failure to pay rent,,No,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538445,24-0551752,4/11/2024,6/12/2024,Calvert County,20678,Female,"African American or Black, not of Hispanic Origin",34,0,Not asked,"No, I found out about it in court",Not asked,Self-represented,Failure to pay rent,,No,Another apartment,Already vacated,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538446,24-0551753,4/11/2024,6/18/2024,Washington County,21740,Female,"White, not of Hispanic Origin",37,0,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Prevented eviction from public or subsidized housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,Achieved,,,,,,,Achieved,,,,,
1538485,24-0551804,4/12/2024,4/12/2024,Baltimore County,21286,Female,"African American or Black, not of Hispanic Origin",51,6900,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538493,24-0551806,4/12/2024,4/15/2024,Baltimore County,21208,Female,"African American or Black, not of Hispanic Origin",43,24000,,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Unsure,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538497,24-0551807,4/12/2024,4/15/2024,Baltimore County,21030,Female,"White, not of Hispanic Origin",64,2200,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538543,24-0551826,4/12/2024,7/3/2024,Frederick County,21701,Female,"White, not of Hispanic Origin",54,31200,Yes,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Yes,Street/unsheltered,Yes,"Prevented eviction filing, Prevented eviction from other housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,,,,,,,,,,,,
1538548,24-0551828,4/12/2024,4/12/2024,Baltimore County,21204,Female,"White, not of Hispanic Origin",70,30000,Yes,,No,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1538589,24-0551843,4/12/2024,4/24/2024,Montgomery County,20904,Female,"African American or Black, not of Hispanic Origin",64,49188,No,"No, I found out about it in court",Yes,Self-represented,Failure to pay rent,,Yes,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
