Client ID,ACE CIS ID,Case ID#,Date Opened,Date Closed,Zip Code,County of Residence,ACE Gender,ACE Race/Ethnicity,Current Age,ACE Client's Primary Language,Limited English Proficiency,Needs Translation Services,ACE Number of People Over 18 in Household,ACE Number of People under 18 in Household,Total Annual Income ,ACE Income Sources,Aware of ACE Before Calling,Called Elsewhere First,ACE Contact Elsewhere Detail,Has Eviction Been Filed?,ACE Court/Agency where the matter is pending,Disability in Household,Disability Related to Eviction,Current Monthly Rent,Type of Eviction Case,ACE Other Type of Eviction Case,10 Day Notice from Landlord,Months Behind Rent (Client),Months Behind Rent (Landlord),Reason Behind on Rent,ACE Conditions Issues,ACE Conditions Issues Other,Informed Landlord about Conditions,Can Pay Toward Rent,Current Property Move-In Date,Public/Subsidized/Voucher Housing,Move Options,Previous Evictions,Previous Eviction in Past Year,Wants to Stay in Rental Unit,Applied for Rental Assistance,Rent Assist Application Status,Reason Didn't Apply for Assistance,Subsidized Housing Program,Other Subsidized Housing Program,Landlord Received Rent Assist Funds,Landlord Representation,Tenant's Goals,Tenant's Other Goal,Goal Status - Avoid Subsidy Termination,Goal Status - Mitigate Damages,Goal Status - Obtain Accomodation,Goal Status - Other Goal,Goal Status - Prevent Eviction Filing,Goal Status - Prevent Eviction Judgment,Goal Status - Prevent Involuntary Move,Goal Status - Recover Personal Property,Goal Status - Reduce Rent/Fee,Goal Status - Remediate Defective Conditions,Goal Status - Remedy Housing Discrimination,Goal Status - Secure Monetary Relief,Goal Status - Secure More Time to Move,Goal Status - Secure Rent Assistance,Damage Mitigation Amount,Amount Owed Reduced,Client Move or Stay,Time Secured for Move,Agreement to Remediate,ACE Level of Service,ACE Level of Service Other Appropriate Remedies,ACE Level of Service Other Services Provided,ACE Case Resolutions,ACE Case Resolution Other Benefit,ACE Case Handler,ACE Funding Source
1488961,,23-0529506,9/25/2023,12/8/2023,20906,Montgomery County,Female,Multiracial,33,English,No,,1,3,21600,Income from their employment,Not asked,No.,,Not asked,,Not asked,,0,Failure to pay rent,,Yes,3 months,3 months,Not asked,,,,Not asked,1-2 years,No,Unknown,Yes,Yes,Not asked,Yes,Pending/Unsure,,,,Not asked,Represented by attorney,Obtain accommodation,,,,Not achieved,,,,,,,,,,,,0,No,Not asked,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1489008,,23-0529522,9/25/2023,11/19/2023,21206,Baltimore City,Female,"African American or Black, not of Hispanic Origin",62,English,,No,1,0,17280,Income from their employment,No,No.,,No,Housing Authority of Baltimore City,No,,747,Failure to pay rent,Unfair Rent Increase,,,,,,,,,6-9 years,Yes,Friends/family – in MD,No,,Yes,No,,Not asked,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,No,Represented by attorney,"Avoid subsidy termination, Prevent eviction filing, Prevent involuntary move, Reduce rent/fee",,Achieved,,,,Achieved,,Achieved,,Achieved,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Stayed,,,Other Appropriate Remedies,Extensive Service (not resulting in Settlement or Court or Administrative Action),,"Avoided or obtained redress for illegal or unfair charges by landlord, Prevented termination of housing subsidy",,In-house staff,ACE Special Fund
1489023,,23-0529526,9/25/2023,12/26/2023,21797,Carroll County,Female,"White, not of Hispanic Origin",50,English,No,,1,3,36672,"Child support, SSI or SSD",No,No.,,Yes,,Yes,,600,Failure to pay rent,,,,,,,,,,3-5 years,No,Unknown,No,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1489100,,23-0529556,9/25/2023,10/2/2023,21229,Baltimore City,Female,"African American or Black, not of Hispanic Origin",56,English,No,,2,0,39104,Income from their employment,No,No.,,Yes,,No,,394,Failure to pay rent,,Yes,I believe I am current on my rent,1 month,,,,,,6-9 years,Yes,Another apartment,Yes,Yes,Yes,No,,,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,,Represented by agent,"Avoid subsidy termination, Prevent eviction judgment",,Achieved,,,,,Achieved,,,,,,,,,0,No,Stayed,,,Counseling,,,Obtained counseling services on a housing matter,,In-house staff,ACE Special Fund
1489145,,23-0529577,9/25/2023,12/6/2023,21791,Carroll County,Female,"White, not of Hispanic Origin",47,English,,,1,1,12000,Income from their employment,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied  ",,Prefer not to respond,,No,,0,Holdover,,,,,,,,,,,,Another apartment,,,No,,,,,,,Represented by attorney,,,,,,,,,,,,,,,,,0,,,,,Representation in Judicial Litigation,,,"Obtained cash-for-keys, relocation assistance or other tenant settlement",,In-house staff,ACE Special Fund
1489219,,23-0529607,9/26/2023,12/10/2023,20735,Prince George's County,Female,"African American or Black, not of Hispanic Origin",30,English,No,,1,1,0,No income,No,No.,,Yes,,Yes,No,0,Breach of lease,,,,,,Plumbing leaks (including sewer/sewage issues),,,,Less than 1 year,Yes,Unknown,No,,Yes,No,,Other,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,,Self-represented,"Prevent eviction judgment, Prevent involuntary move, Secure time to move (30 days or more)",,,,,,,Achieved,Achieved,,,,,,Goal changed,,0,No,Stayed,,,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Prevented eviction from public or subsidized housing",,In-house staff,ACE Special Fund
1489474,,23-0529703,9/26/2023,11/30/2023,21045,Howard County,Male,"African American or Black, not of Hispanic Origin",40,English,,No,1,0,24000,Income from their employment,, ,,Yes,,No,,2000,Failure to pay rent,,Unsure,,,,,,,,,No,,,,Yes,Not asked,,,,,,Represented by agent,Prevent involuntary move,,,,,,,,Achieved,,,,,,,,0,,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1489662,,23-0529800,9/27/2023,6/7/2024,20782,Prince George's County,Male,"African American or Black, not of Hispanic Origin",59,English,No,,1,1,15600,Income from their employment,Yes,No.,,Yes,,No,,1576,Holdover,,,,,,,,,,3-5 years,Yes,Friends/family – in MD,Yes,Yes,Yes,Yes,Pending/Unsure,,Low Income Housing Tax Credit (LIHTC),,No,Represented by attorney,"Prevent eviction judgment, Prevent involuntary move, Secure supply of affordable rental housing, Secure time to move (30 days or more)",,,,,,,Achieved,Achieved,,,,,,Achieved,,0,Not applicable to this case,Moved,More than 90 days,,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Prevented denial of public or subsidized housing tenant's rights, Prevented eviction from public or subsidized housing",,In-house staff,ACE Special Fund
1489682,,23-0529810,9/27/2023,1/31/2024,21206,Baltimore City,Female,"African American or Black, not of Hispanic Origin",46,English,,No,1,3,50700,"Income from their employment, SSI or SSD",No,No.,,No,District Court,Yes,No,831,Failure to pay rent,,Yes,2 months,4 months,Unexpected expense,,,,"Yes, some of it",3-5 years,Yes,Friends/family – in MD,No,,Yes,Yes,Pending/Unsure,,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,No,Represented by agent,"Avoid subsidy termination, Prevent eviction filing, Prevent eviction judgment, Prevent involuntary move",,Achieved,,,,Achieved,Achieved,Achieved,,,,,,,,0,No,Stayed,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE ARPA Baltimore City
1489756,,23-0529834,9/27/2023,12/30/2023,21218,Baltimore City,Female,"African American or Black, not of Hispanic Origin",69,English,,No,1,0,12240,Other,No,No.,,Yes,,No,,84,Failure to pay rent,,Yes,1 month,1 month,Recent increase in rent,,,,No,6-9 years,Yes,Unknown,No,,Yes,No,,I did not know how to apply,Housing Choice Voucher Program (HCVP) – project-based voucher,,,Represented by agent,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,No,Stayed,,,Counseling,,,Obtained counseling services on a housing matter,,In-house staff,ACE Special Fund
1489769,,23-0529842,9/27/2023,12/27/2023,21740,Washington County,Female,Prefer not to respond,36,English,,,1,4,47760,"Child support, Income from their employment",, ,,,,,,0,Failure to pay rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Representation in Judicial Litigation,,,Avoided or obtained redress for illegal or unfair charges by landlord,,In-house staff,ACE Special Fund
1489836,,23-0529870,9/27/2023,11/25/2023,20770,Prince George's County,Female,"African American or Black, not of Hispanic Origin",42,English,No,,3,1,48000,Income from their employment,No,No.,,Yes,,Not asked,,1259,Failure to pay rent,,Yes,1 month,3 months,Not asked,,,,"Yes, some of it",3-5 years,Yes,Not asked,Yes,Yes,No,No,,Not asked,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,No,Represented by attorney,Prevent involuntary move,,,,,,,,Achieved,,,,,,,,0,Yes – the amount was offset by expenses paid by client,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction from public or subsidized housing,,In-house staff,ACE Special Fund
1489882,,23-0529886,9/27/2023,11/25/2023,20770,Prince George's County,Female,"African American or Black, not of Hispanic Origin",42,English,No,,3,1,48000,Income from their employment,Yes,No.,,Yes,,Not asked,,1259,Failure to pay rent,,Yes,1 month,4 months,Not asked,,,,"Yes, some of it",3-5 years,Yes,Not asked,Yes,Yes,No,No,,Not asked,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,No,Represented by attorney,Prevent involuntary move,,,,,,,,Not achieved,,,,,,,,0,No,Stayed,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1489888,,23-0529888,9/27/2023,12/18/2023,20695,Charles County,Female,"African American or Black, not of Hispanic Origin",37,English,No,,1,2,34272,"Child support, Income from their employment",No,No.,,Yes,,No,,2800,Failure to pay rent,,Yes,2 months,4 months,Job loss or reduced/inconsistent hours,,,,"Yes, some of it",1-2 years,No,Another apartment,Yes,Yes,Already vacated,No,,I did not qualify,,,No,Represented by agent,"Prevent eviction judgment, Prevent involuntary move, Reduce rent/fee",,,,,,,Achieved,Achieved,,Achieved,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Moved,Less than 30 days,,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1489903,,23-0529898,9/27/2023,12/1/2023,20602,Charles County,Female,"African American or Black, not of Hispanic Origin",50,English,No,,2,0,25636,Income from their employment,Not asked,No.,,No,District Court,Not asked,,850,Failure to pay rent,,,,,,,,,,3-5 years,Yes,Not asked,Yes,Yes,Yes,Not asked,,,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,Not asked,Self-represented,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Yes – the amount was reduced through legal negotiation,Stayed,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1489914,,23-0529902,9/27/2023,12/17/2023,20601,Charles County,Female,"African American or Black, not of Hispanic Origin",34,English,No,,1,3,27600,"Child support, Income from their employment",Yes,No.,,No,District Court,Not asked,,1641,Failure to pay rent,,Yes,1 month,1 month,Not asked,,,,"Yes, all of it",1-2 years,No,Not asked,Yes,Yes,Yes,Not asked,,,,,Not asked,Represented by attorney,Prevent eviction judgment,,,,,,,Not achieved,,,,,,,,,0,Yes – the amount was offset by expenses paid by client,Stayed,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1489918,,23-0529905,9/27/2023,3/25/2024,20794,Howard County,Female,"White, not of Hispanic Origin",73,English,No,,1,0,38016,"Pension, SSI or SSD",Not asked, ,,Yes,,Yes,Yes,1860,Failure to pay rent,,No,I believe I am current on my rent,4 months,,,,,,3-5 years,No,Street/unsheltered,Yes,No,No,No,,I did not qualify,,,,Represented by attorney,"Obtain accommodation, Prevent eviction judgment, Reduce rent/fee, Secure time to move (30 days or more)",,,,Achieved,,,Goal changed,,,Achieved,,,,Achieved,,0,Yes – the amount was reduced through legal negotiation,Moved,More than 90 days,,Representation in Administrative Proceedings,,,"Avoided or obtained redress for illegal or unfair charges by landlord, Obtained reasonable accommodation, Prevented eviction from other housing",,In-house staff,ACE Special Fund
1489931,,23-0529910,9/27/2023,10/24/2023,21117,Baltimore County,Female,"African American or Black, not of Hispanic Origin",36,English,,,1,2,16307.2,Income from their employment,Not asked, ,,,,Yes,,0,Failure to pay rent,,Yes,,,,,,,,,,Not asked,,,Yes,,,,,,,Represented by agent,,,,,,,,,,,,,,,,,0,,,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1489935,,23-0529913,9/27/2023,3/21/2024,20601,Charles County,Female,"African American or Black, not of Hispanic Origin",22,English,No,,1,2,35880,Income from their employment,No,No.,,Yes,,Yes,No,2231,Failure to pay rent,,Yes,2 months,2 months,,,,,"Yes, all of it",1-2 years,No,Unknown,No,,Yes,Yes,Denied,,,,No,Represented by attorney,Prevent eviction judgment,,,,,,,Not achieved,,,,,,,,,0,No,Not asked,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1489996,,23-0529931,9/28/2023,12/21/2023,20748,Prince George's County,Female,"African American or Black, not of Hispanic Origin",29,English,,,1,4,11088,Income from their employment,No,No.,,Yes,,No,,1780,Failure to pay rent,,Yes,2 months,2 months,Not asked,,,,No,1-2 years,No,Another apartment,Unknown,,Already vacated,Not asked,,,,,Not asked,Represented by attorney,Other client goal (please specify),Help with eviction process,,,,,,,,,,,,,,,0,No,Moved,Less than 30 days,,Representation in Administrative Proceedings,,,Obtained representation in housing administrative proceeding,,In-house staff,ACE Special Fund
1490040,,23-0529950,9/28/2023,11/30/2023,21075,Howard County,Female,"African American or Black, not of Hispanic Origin",52,English,,No,2,0,22080,SSI or SSD,Not asked, ,,No,Other,Not asked,,277,Failure to pay rent,,Yes,I believe I am current on my rent,6 or more months,,Other,,,,,Yes,,,,Yes,,,,Project-based Section 8,,,,Prevent eviction filing,,,,,,Achieved,,,,,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Stayed,,,Negotiation,,,"Avoided or obtained redress for illegal or unfair charges by landlord, Prevented eviction from public or subsidized housing",,In-house staff,ACE Special Fund
1490078,,23-0529963,9/28/2023,1/23/2024,21403,Anne Arundel County,Male,"White, not of Hispanic Origin",60,English,,,2,0,24000,Income from their employment,No,No.,,No,District Court,Yes,Yes,50,Failure to pay rent,,Yes,3 months,3 months,Job loss or reduced/inconsistent hours,,,,"Yes, some of it",1-2 years,No,Unknown,Yes,No,Yes,Yes,Approved,,,,Yes,Self-represented,"Avoid subsidy termination, Prevent eviction judgment, Prevent involuntary move, Reduce rent/fee, Secure rent assistance",,Achieved,,,,,Achieved,Achieved,,Planned,,,,,Achieved,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Stayed,,,Negotiation,,,"Avoided or obtained redress for illegal or unfair charges by landlord, Enforced rights to decent, habitable housing, Prevented denial of public or subsidized housing tenant's rights, Prevented eviction filing, Prevented termination of housing subsidy",,In-house staff,ACE Special Fund
1490084,,23-0529966,9/28/2023,11/27/2023,20874,Montgomery County,Female,Prefer not to respond,38,English,No,,1,1,33000,Income from their employment,Not asked,No.,,Yes,,Not asked,,1329,Failure to pay rent,,No,I believe I am current on my rent,,,,,,,6-9 years,Yes,Not asked,No,,Not asked,Not asked,,,,,Not asked,Represented by attorney,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Not applicable to this case,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction from public or subsidized housing,,In-house staff,ACE Special Fund
1490113,,23-0529980,9/28/2023,6/29/2024,20746,Prince George's County,Female,"African American or Black, not of Hispanic Origin",34,English,No,,2,0,42770,Income from their employment,Yes,No.,,Yes,,No,,1279,Failure to pay rent,,Yes,,,,,,,,1-2 years,No,,Yes,,,,,,,,,Represented by attorney,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,,,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1490139,,23-0529993,9/28/2023,3/4/2024,20706,Prince George's County,Female,"African American or Black, not of Hispanic Origin",62,English,No,,1,0,10968,SSI or SSD,No,"Yes, I tried to contact a legal services provider but no return call or was denied  ",,No,District Court,Yes,No,86,Failure to pay rent,,No,I believe I am current on my rent,2 months,,,,,,1-2 years,Yes,Unknown,Yes,Yes,Yes,Not asked,,,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,,Represented by attorney,"Avoid subsidy termination, Prevent eviction filing, Prevent eviction judgment, Prevent involuntary move",,Achieved,,,,Achieved,Achieved,Achieved,,,,,,,,0,Yes – the amount was reduced through legal negotiation,Stayed,,,Negotiation,,,Avoided or obtained redress for illegal or unfair charges by landlord,,In-house staff,ACE Special Fund
1490160,,23-0529999,9/28/2023,7/30/2024,21201,Baltimore City,Female,"African American or Black, not of Hispanic Origin",64,English,No,,1,0,10800,SSI or SSD,No,No.,,Yes,,Yes,Not asked,284,Failure to pay rent,,Yes,3 months,2 months,Other,,,,"Yes, some of it",10+ years,Yes,Not asked,No,,Yes,Yes,Pending/Unsure,,Low Income Housing Tax Credit (LIHTC),,Not asked,Represented by agent,"Prevent eviction judgment, Prevent involuntary move",,,,,,,Achieved,Achieved,,,,,,,,0,Not applicable to this case,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction from public or subsidized housing,,In-house staff,ACE Special Fund
1490220,,23-0530020,9/29/2023,10/24/2024,21040,Harford County,Female,Prefer not to respond,29,English,No,,1,2,17160,Income from their employment,No, ,,,,No,,251,Failure to pay rent,,Yes,I believe I am current on my rent,1 month,,,,,,3-5 years,Yes,Another apartment,No,,Yes,Yes,Denied,,Housing Choice Voucher Program (HCVP) – project-based voucher,,No,Represented by attorney,Avoid subsidy termination,,Achieved,,,,,,,,,,,,,,8429,Yes – the amount was reduced through legal negotiation,Moved,61-90 days,,Negotiation,,,"Delayed eviction, providing time to seek alternative housing, Obtained counseling services on a housing matter, Obtained neutral reference from landlord",,In-house staff,ACE Special Fund
1490222,,23-0530021,9/29/2023,6/29/2024,21215,Baltimore City,Female,"African American or Black, not of Hispanic Origin",67,English,,No,1,0,10968,SSI or SSD,No,No.,,No,Housing Authority of Baltimore City,No,,54,Failure to pay rent,,No,2 months,2 months,Other,,,,"Yes, some of it",10+ years,Yes,Unknown,No,,Yes,Not asked,,,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,Not asked,Represented by agent,"Avoid subsidy termination, Reduce rent/fee",,Achieved,,,,,,,,Achieved,,,,,,0,No,Stayed,,,Document Preparation,,,"Avoided or obtained redress for illegal or unfair charges by landlord, Obtained counseling services on a housing matter",,In-house staff,ACE Special Fund
1490278,,23-0530041,9/29/2023,12/30/2023,21223,Baltimore City,Female,"African American or Black, not of Hispanic Origin",68,English,No,,1,0,13836,Other,No,No.,,No,District Court,Yes,No,0,Failure to pay rent,,,,,,,,,,1-2 years,Yes,Not asked,No,,No,No,,I did not qualify,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,No,Self-represented,Other client goal (please specify),Sue landlord,,,,,,,,,,,,,,,0,Not applicable to this case,Stayed,,,Counseling,,,Obtained counseling services on a housing matter,,In-house staff,ACE Special Fund
1490279,,23-0530042,9/29/2023,12/30/2023,20708,Prince George's County,Female,"African American or Black, not of Hispanic Origin",83,English,No,,1,0,25296,SSI or SSD,No,No.,,Yes,,Not asked,,1495,Holdover,,,,,,,,,,1-2 years,No,Not asked,Yes,Yes,Yes,No,,I did not know how to apply,,,No,Represented by attorney,Prevent involuntary move,,,,,,,,Achieved,,,,,,,,0,No,Stayed,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1490343,,23-0530078,9/29/2023,11/4/2023,21206,Baltimore City,Female,"African American or Black, not of Hispanic Origin",53,English,,,1,0,15600,Income from their employment,Yes, ,,,,Not asked,,0,Failure to pay rent,,Yes,,,,,,,,,,Unknown,,,Yes,,,,,,,Represented by agent,,,,,,,,,,,,,,,,,0,,,,,Negotiation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1490399,,23-0530107,9/29/2023,12/8/2023,20743,Prince George's County,Female,"African American or Black, not of Hispanic Origin",24,English,No,,1,0,32760,Income from their employment,No,No.,,Yes,,No,,1204,Holdover,,,,,,,,,,1-2 years,No,Not asked,No,,Yes,No,,I did not know how to apply,,,No,Represented by attorney,"Prevent eviction judgment, Prevent involuntary move, Secure time to move (30 days or more)",,,,,,,Achieved,Achieved,,,,,,Achieved,,0,Not applicable to this case,Stayed,,,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Prevented eviction from other housing",,In-house staff,ACE Special Fund
1490448,,23-0530133,9/29/2023,12/10/2023,21742,Washington County,Male,Hispanic,31,English,No,,2,0,15600,Income from their employment,Yes,No.,,Yes,,Yes,No,640,Failure to pay rent,,No,2 months,2 months,Not asked,Other,driveway,,No,3-5 years,No,Hotel/motel,Yes,Yes,Yes,Yes,Pending/Unsure,,,,Not asked,Self-represented,Secure rent assistance,,,,,,,Goal changed,,,,,,,,Achieved,0,No,Stayed,,,Negotiation,,,"Delayed eviction, providing time to seek alternative housing",Delayed eviction to give client time to pay off balance owed,In-house staff,ACE Special Fund
1490449,,23-0530134,9/29/2023,12/13/2023,20886,Montgomery County,Male,"White, not of Hispanic Origin",69,English,,,2,0,20004,Other,No, ,,,,,,0,Other,Wrongful Detainer,,,,,,,,,,,,,,,,,,,,,Represented by attorney,,,,,,,,,,,,,,,,,0,Not applicable to this case,Moved,Less than 30 days,,Representation in Judicial Litigation,,,"Obtained cash-for-keys, relocation assistance or other tenant settlement",,In-house staff,ACE Special Fund
1490478,,23-0530141,9/29/2023,12/5/2023,21740,Washington County,Female,"White, not of Hispanic Origin",59,English,No,,2,0,34004,"Income from their employment, SSI or SSD",Yes,No.,,Yes,,Yes,No,1100,Failure to pay rent,,Yes,3 months,3 months,,Other,husband needed surgery,,"Yes, some of it",3-5 years,No,Street/unsheltered,Yes,No,Yes,No,,I did not know how to apply,,,Not asked,Self-represented,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,,,,,Negotiation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1490479,,23-0530142,9/29/2023,12/20/2023,21702,Frederick County,Female,"African American or Black, not of Hispanic Origin",40,English,,,1,0,31594.8,"Income from their employment, SSI or SSD",, ,,,,,,0,Failure to pay rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,Moved,30-60 days,,Negotiation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1490493,,23-0530149,9/29/2023,12/12/2023,21740,Washington County,Male,"White, not of Hispanic Origin",33,English,No,,1,2,33600,"Child support, Income from their employment",No,No.,,Yes,,,,1000,Failure to pay rent,,Yes,4 months,4 months,Job loss or reduced/inconsistent hours,Infestation or pests,,,No,3-5 years,No,Shelter,No,,Yes,No,,,,,Not asked,Self-represented,Prevent eviction judgment,,,,,,,Planned,,,,,,,,,0,No,Moved,Less than 30 days,,Negotiation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1490499,,23-0530152,9/29/2023,12/11/2023,20708,Prince George's County,Female,"African American or Black, not of Hispanic Origin",31,English,,No,1,3,6916,"Child support, Income from their employment",Not asked,No.,,Not asked,,Not asked,,1856,Failure to pay rent,,Yes,2 months,2 months,Job loss or reduced/inconsistent hours,Infestation or pests,,,No,Less than 1 year,No,Unknown,No,,No,Yes,Pending/Unsure,,,,Not asked,Represented by attorney,"Secure rent assistance, Secure time to move (30 days or more)",,,,,,,,,,,,,,Achieved,Planned,0,No,Moved,30-60 days,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing, Obtained representation in housing defensive litigation",,In-house staff,ACE Special Fund
1490519,,23-0530159,9/29/2023,12/19/2023,21701,Frederick County,Male,Multiracial,33,English,,,1,0,0,No income,, ,,,,,,0,Failure to pay rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Not applicable to this case,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1490568,,23-0530187,9/29/2023,12/18/2023,20854,Montgomery County,Female,Prefer not to respond,71,English,No,,1,0,31212.12,SSI or SSD,Not asked,No.,,No,District Court,Not asked,,850,Holdover,,,,,,Water damage,,,,1-2 years,No,Another apartment,No,,Already vacated,Not asked,,,,,,Represented by attorney,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Not applicable to this case,Moved,More than 90 days,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1490573,,23-0530190,9/29/2023,12/26/2023,21740,Washington County,Female,"White, not of Hispanic Origin",35,English,No,,1,2,0,No income,Yes,No.,,Yes,,Yes,No,950,Failure to pay rent,,Yes,3 months,3 months,Job loss or reduced/inconsistent hours,,,,"Yes, some of it",1-2 years,No,Unknown,Yes,Yes,Yes,No,,Other,,,Not asked,Represented by agent,Prevent eviction judgment,,,,,,,Not achieved,,,,,,,,,0,No,Not asked,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing, Obtained other benefit for tenant",negotiated stay of execution,In-house staff,ACE Special Fund
1490580,,23-0530192,9/29/2023,12/19/2023,21740,Washington County,Female,"White, not of Hispanic Origin",33,English,No,,1,4,21216,Income from their employment,Yes,No.,,Yes,,No,,925,Failure to pay rent,,Yes,I believe I am current on my rent,6 or more months,,Unstable or damaged flooring or carpet,,,,Less than 1 year,No,Other,Yes,Yes,Yes,No,,Other,,,No,Represented by agent,Prevent eviction judgment,,,,,,,Planned,,,,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Not asked,,,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Prevented eviction from other housing",,In-house staff,ACE Special Fund
1490598,,23-0530198,10/2/2023,12/30/2023,20708,Prince George's County,Female,"African American or Black, not of Hispanic Origin",56,English,No,,2,1,50000,Income from their employment,No,No.,,Yes,,No,,1658,Holdover,,,,,,,,,,3-5 years,No,Friends/family – in MD,Yes,Yes,No,Yes,Approved,,,,Prefer not to respond,Represented by attorney,"Prevent eviction judgment, Prevent involuntary move, Secure time to move (30 days or more)",,,,,,,Achieved,Achieved,,,,,,Achieved,,0,Not applicable to this case,Moved,Less than 30 days,,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Prevented eviction from other housing",,In-house staff,ACE Special Fund
1490601,,23-0530200,10/2/2023,12/20/2023,21550,Garrett County,Female,"White, not of Hispanic Origin",60,English,No,,2,0,13152,SSI or SSD,Yes,No.,,Yes,,No,,700,Failure to pay rent,,Yes,2 months,3 months,Other,Other,Water loss,,Not asked,3-5 years,No,Unknown,No,,Yes,No,,Not asked,,,Not asked,Self-represented,Prevent involuntary move,,,,,,,Achieved,Achieved,,,,,,,,0,No,Moved,Less than 30 days,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1490627,,23-0530217,10/2/2023,12/17/2023,21787,Carroll County,Male,"White, not of Hispanic Origin",52,English,,No,1,0,14640,SSI or SSD,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied  ",,,,Yes,,0,Failure to pay rent,Complaint for Rent Escrow Injunction,,,,,,,,,,,Unknown,,,,,,,,,,Represented by attorney,,,,,,,,,,,,,,,,,0,No,Not asked,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
